"x","f(x)","sin(x)","cos(x)","tan(x)","cot(x)","sec(x)","csc(x)","log_3(x)","log_5(x)","log_10(x)","ln(x)"
"-5.0,7.916152725244494,0.9587763690226141,0.2835840476072515,3.3809249043178458,0.2957770516354505,3.5262914414175572,1.042996085749808,NaN,NaN,NaN,NaN"
"-4.75,686.6788611458466,1.0001335195754335,0.038121224824192286,26.23560822580743,0.03811613557395328,26.23210572618814,0.9998664982496636,NaN,NaN,NaN,NaN"
"-4.5,17.848895794353282,0.9778676393387136,-0.21061553262578983,-4.642903717249266,-0.21538245479543563,-4.747987897819224,1.0226332887713245,NaN,NaN,NaN,NaN"
"-4.25,1.2729935798701328,0.8951178817446176,-0.44603059325964384,-2.0068531066512527,-0.49829257392368687,-2.2419986770232123,1.117171291507397,NaN,NaN,NaN,NaN"
"-4.0,1.6600827078111033E-5,0.7560275115830664,-0.6540630609271597,-1.155893914130188,-0.8651312960259865,-1.5289045655360223,1.3227031882822267,NaN,NaN,NaN,NaN"
"-3.75,0.10589355048441446,0.5712649340097008,-0.8206872946252376,-0.6960811234083571,-1.4366141623026722,-1.2184908996996775,1.7505012831454814,NaN,NaN,NaN,NaN"
"-3.5,118.11146940806408,0.35067724867955763,-0.9364903928672749,-0.3744589921588846,-2.6705193918155277,-1.0678166136208576,2.851624973577289,NaN,NaN,NaN,NaN"
"-3.25,456581.0239539201,0.10888482832779783,-0.9938445130278333,-0.10955921867100799,-9.127483858778414,-1.0061936116681003,9.184015949306541,NaN,NaN,NaN,NaN"
"-3.0,158401.90603269092,-0.1408745941558441,-0.9899251911461259,0.14230832331152302,7.026995868758351,-1.0101773436457453,-7.0985120205119365,NaN,NaN,NaN,NaN"
"-2.75,480.92141866646824,-0.3815812738614921,-0.924919440742054,0.41255622603775427,2.4239120315893303,-1.081175241811016,-2.620673676882226,NaN,NaN,NaN,NaN"
"-2.5,38.11340603647396,-0.5990461991998042,-0.8012608749079507,0.747629415037422,1.3375610695439877,-1.2480329831590498,-1.6693203317803922,NaN,NaN,NaN,NaN"
"-2.25,11.762552717989813,-0.7782546937465669,-0.628186768606741,1.2388906176305852,0.8071737615646243,-1.5918832582512135,-1.284926397534382,NaN,NaN,NaN,NaN"
"-2.0,10.244535674883549,-0.909347442680776,-0.4160259906954699,2.1857947893126135,0.4574994893800067,-2.4036959766102637,-1.099689681923972,NaN,NaN,NaN,NaN"
"-1.75,34.359402855584136,-0.9835733201768663,-0.17920367320510344,5.488577899020742,0.18219655772370788,-5.580242760177538,-1.0167010221669899,NaN,NaN,NaN,NaN"
"-1.5,202.58696795075517,-0.9973911830357143,0.07079632679489656,-14.08817700281609,-0.0709815045481122,14.125026611862104,-1.0026156406920956,NaN,NaN,NaN,NaN"
"-1.25,13.75327138492448,-0.9499104817708333,0.31529411998368295,-3.0127757594083673,-0.3319198240616403,3.171641767539946,-1.0527307774684087,NaN,NaN,NaN,NaN"
"-1.0,9.766944313064018,-0.8416666666666667,0.5398012826940385,-1.5592157589290625,-0.6413480586463823,1.8525335749652228,-1.188118811881188,NaN,NaN,NaN,NaN"
"-0.75,20.02449107629903,-0.6816650390625,0.7317382043662325,-0.9315695627138924,-1.0734571416081402,1.3666089785022395,-1.4669961677590344,NaN,NaN,NaN,NaN"
"-0.5,129.88940762271162,-0.4791666666666667,0.8778977852978218,-0.5458114540112573,-1.8321345084476282,1.1390847735887109,-2.0869565217391304,NaN,NaN,NaN,NaN"
"-0.25,5947.62785842644,-0.24739583333333334,0.9688792403246973,-0.25534227903409756,-3.9163118766808815,1.0321203699904575,-4.042105263157895,NaN,NaN,NaN,NaN"
"0.0,NaN,0.0,0.9998431013994987,0.0,Infinity,1.000156923221535,Infinity,NaN,NaN,NaN,NaN"
"0.25,-0.41327925674588983,0.24739583333333334,0.9683241458969095,0.2554886546841018,3.914068126572771,1.0327120357757378,4.042105263157895,-1.2618579986014455,-0.8613540676187028,-0.6020625328806728,-1.3860012904394805"
"0.5,2.5613061889028383,0.4791666666666667,0.8776557595154677,0.5459619691109905,1.8316294111627152,1.1393988920577192,2.0869565217391304,-0.6309303209533945,-0.43067793597972714,-0.30103189703233324,-0.6931347573322881"
"0.75,18.114455515318387,0.6816650390625,0.7319435416117186,0.9313082229832825,1.0737583705603666,1.3662255941189518,1.4669961677590344,-0.26185977787731946,-0.1787475176052672,-0.12493954256590206,-0.287681719918288"
"1.0,NaN,0.8416666666666667,0.5410810205462206,1.5555279795565646,0.6428685392628364,1.8481520549186907,1.188118811881188,0.0,0.0,0.0,0.0"
"1.25,30.717180688726863,0.9499104817708333,0.3152116323326147,3.0135641719226833,0.33183298677259965,3.172471753659108,1.0527307774684087,0.20311417262572404,0.13864731132669492,0.09691061384921314,0.22313671696387744"
"1.5,9.59691092797442,0.9973911830357143,0.0704055224841276,14.166377122768584,0.07058967803368535,14.20343127523047,1.0026156406920956,0.36907052811877583,0.25193040816449136,0.17609234732994716,0.4054613333333334"
"1.75,5.339199337832211,0.9835733201768663,-0.17915677872101893,-5.490014540328817,-0.18214888005380517,-5.581703394863945,1.0167010221669899,0.5093846689136813,0.347709930148794,0.24303956888703637,0.5595817473967872"
"2.0,3.7654337770321717,0.909347442680776,-0.4160039808595603,-2.1859104348036626,-0.45747528539055604,-2.403823150763531,1.099689681923972,0.6309303209533945,0.43067793597972714,0.30103189703233324,0.6931347573322881"
"2.25,3.0155532486537084,0.7782546937465669,-0.627782002072796,-1.2396894004239427,-0.8066536663603198,-1.592909635348295,1.284926397534382,0.7381406227338688,0.5038605204160029,0.3521844878249529,0.8108836223476766"
"2.5,2.6061184511470845,0.5990461991998042,-0.8012056673512632,-0.7476809308903345,-1.3374689104471411,-1.2481189796197256,1.6693203317803922,0.8340442077147368,0.5693250521731754,0.39794237448883507,0.9161630384119069"
"2.75,2.3638659283522014,0.3815812738614921,-0.9244722852591505,-0.41275577423559673,-2.4227401829858115,-1.081698192520371,2.620673676882226,0.9207981713795529,0.6285439813772186,0.4393347587027217,1.0115498983554225"
"3.0,2.2135000788435892,0.1408745941558441,-0.9904318008959485,-0.1422355320461322,-7.030592044157175,-1.0096606339733802,7.0985120205119365,1.0,0.6826077645609624,0.47712383924970675,1.0984995039682537"
"3.25,2.1178017996952443,-0.10888482832779783,-0.9940554487418038,0.10953597051916528,9.129421095739797,-1.0059801002707849,-9.184015949306541,1.072856257504075,0.7323400116300969,0.5118852965434162,1.1784362722126844"
"3.5,2.0565627734875833,-0.35067724867955763,-0.9362638045854257,0.37454961621082455,2.6698732470122866,-1.0680750394305765,-2.851624973577289,1.1403133172776025,0.7783867244059597,0.5440706678870586,1.2526618757797547"
"3.75,2.018028632430321,-0.5712649340097008,-0.8200809177604558,0.6965958134591863,1.4355526988228018,-1.219391865294076,-1.7505012831454814,1.2031139847244936,0.8212549476248184,0.5740343634467634,1.321577326023039"
"4.0,1.9949708747768014,-0.7560275115830664,-0.6537287021697761,1.1564851123619824,0.8646890386315651,-1.5296865453221233,-1.3227031882822267,1.2618579986014455,0.8613540676187028,0.6020625328806728,1.3860012904394805"
"4.25,1.9827457120856078,-0.8951178817446176,-0.4463002362742008,2.0056406181122193,0.4985938113585054,-2.2406441196361224,-1.117171291507397,1.3170418186433703,0.8990229716574556,0.6283920489635408,1.4464654524407867"
"4.5,1.9782651558790798,-0.9778676393387136,-0.21130743156849244,4.62770112759499,0.216090013686709,-4.732441223563231,-1.0226332887713245,1.3690678245817653,0.9345363272700986,0.6532148966576958,1.5038406606244261"
"4.75,1.9794115148056055,-1.0001335195754335,0.03769699634020877,-26.53085435638968,-0.037691963725214925,26.527312440895177,-0.9998664982496636,1.4182830938771742,0.9681310522261036,0.6766966748936296,1.557792460546656"
